condition,distortion_type,level,mean_snr_db,class_name,map50,map50_95
distorted,gaussian_noise,2,16.6,handbag,0.0165,0.0149
distorted,gaussian_noise,2,16.6,skateboard,0.0838,0.0307
distorted,gaussian_noise,2,16.6,bottle,0.3317,0.2985
distorted,gaussian_noise,2,16.6,cup,0.3199,0.1567
distorted,gaussian_noise,2,16.6,fork,0.0619,0.0495
distorted,gaussian_noise,2,16.6,knife,0.3985,0.2942
distorted,gaussian_noise,2,16.6,spoon,0.199,0.1791
distorted,gaussian_noise,2,16.6,bowl,0.77,0.6255
distorted,gaussian_noise,2,16.6,banana,0.0,0.0
distorted,gaussian_noise,2,16.6,sandwich,0.0,0.0
distorted,gaussian_noise,2,16.6,orange,0.5575,0.2874
distorted,gaussian_noise,2,16.6,broccoli,0.995,0.995
distorted,gaussian_noise,2,16.6,pizza,0.995,0.4477
distorted,gaussian_noise,2,16.6,cake,0.5,0.4835
distorted,gaussian_noise,2,16.6,chair,0.1546,0.1136
distorted,gaussian_noise,2,16.6,potted plant,0.5164,0.2944
distorted,gaussian_noise,2,16.6,bed,0.3317,0.199
distorted,gaussian_noise,2,16.6,dining table,0.5028,0.2631
distorted,gaussian_noise,2,16.6,microwave,0.0,0.0
distorted,gaussian_noise,2,16.6,oven,0.0495,0.0124
distorted,gaussian_noise,2,16.6,sink,0.2487,0.1244
distorted,gaussian_noise,2,16.6,refrigerator,0.3317,0.199
distorted,gaussian_noise,2,16.6,book,0.2867,0.1649
distorted,gaussian_noise,2,16.6,clock,0.83,0.501
distorted,gaussian_noise,2,16.6,vase,0.995,0.8455
distorted,gaussian_noise,2,16.6,teddy bear,0.0,0.0
distorted,gaussian_noise,3,12.62,all,0.2538,0.1623
distorted,gaussian_noise,3,12.62,person,0.2226,0.1425
distorted,gaussian_noise,3,12.62,bicycle,0.1244,0.0373
distorted,gaussian_noise,3,12.62,car,0.0849,0.0612
distorted,gaussian_noise,3,12.62,motorcycle,0.555,0.355
distorted,gaussian_noise,3,12.62,airplane,0.995,0.597
distorted,gaussian_noise,3,12.62,train,0.4975,0.1492
distorted,gaussian_noise,3,12.62,truck,0.0862,0.019
distorted,gaussian_noise,3,12.62,stop sign,0.0,0.0
distorted,gaussian_noise,3,12.62,bench,0.0008,0.0003
distorted,gaussian_noise,3,12.62,bird,0.088,0.034
distorted,gaussian_noise,3,12.62,dog,0.0475,0.0212
distorted,gaussian_noise,3,12.62,horse,0.995,0.3967
distorted,gaussian_noise,3,12.62,elephant,0.0619,0.0248
distorted,gaussian_noise,3,12.62,zebra,0.995,0.995
distorted,gaussian_noise,3,12.62,giraffe,0.4395,0.2792
distorted,gaussian_noise,3,12.62,umbrella,0.245,0.196
distorted,gaussian_noise,3,12.62,handbag,0.0077,0.0031
distorted,gaussian_noise,3,12.62,skateboard,0.0,0.0
distorted,gaussian_noise,3,12.62,bottle,0.0,0.0
distorted,gaussian_noise,3,12.62,cup,0.0,0.0
distorted,gaussian_noise,3,12.62,fork,0.0,0.0
distorted,gaussian_noise,3,12.62,knife,0.0,0.0
distorted,gaussian_noise,3,12.62,spoon,0.0,0.0
distorted,gaussian_noise,3,12.62,bowl,0.645,0.535
distorted,gaussian_noise,3,12.62,banana,0.0,0.0
distorted,gaussian_noise,3,12.62,sandwich,0.0321,0.0096
distorted,gaussian_noise,3,12.62,orange,0.33,0.1895
distorted,gaussian_noise,3,12.62,broccoli,0.995,0.995
distorted,gaussian_noise,3,12.62,pizza,0.995,0.2985
distorted,gaussian_noise,3,12.62,cake,0.665,0.5985
distorted,gaussian_noise,3,12.62,chair,0.0346,0.0267
distorted,gaussian_noise,3,12.62,potted plant,0.0,0.0
distorted,gaussian_noise,3,12.62,bed,0.0905,0.0633
distorted,gaussian_noise,3,12.62,dining table,0.2692,0.1239
distorted,gaussian_noise,3,12.62,microwave,0.0,0.0
distorted,gaussian_noise,3,12.62,oven,0.0495,0.0241
distorted,gaussian_noise,3,12.62,sink,0.0995,0.0422
distorted,gaussian_noise,3,12.62,refrigerator,0.3317,0.1658
distorted,gaussian_noise,3,12.62,book,0.1225,0.098
distorted,gaussian_noise,3,12.62,clock,0.555,0.334
distorted,gaussian_noise,3,12.62,vase,0.0,0.0
distorted,gaussian_noise,3,12.62,teddy bear,0.0,0.0
distorted,gaussian_noise,4,9.7,all,0.0839,0.0623
distorted,gaussian_noise,4,9.7,person,0.0888,0.0529
distorted,gaussian_noise,4,9.7,bicycle,0.0,0.0
distorted,gaussian_noise,4,9.7,car,0.0221,0.012
distorted,gaussian_noise,4,9.7,motorcycle,0.0,0.0
distorted,gaussian_noise,4,9.7,airplane,0.0,0.0
distorted,gaussian_noise,4,9.7,train,0.0995,0.051
distorted,gaussian_noise,4,9.7,truck,0.0,0.0
distorted,gaussian_noise,4,9.7,stop sign,0.0,0.0
distorted,gaussian_noise,4,9.7,bench,0.0,0.0
distorted,gaussian_noise,4,9.7,bird,0.0156,0.0033
distorted,gaussian_noise,4,9.7,dog,0.0057,0.0017
distorted,gaussian_noise,4,9.7,horse,0.5538,0.2153
distorted,gaussian_noise,4,9.7,elephant,0.0413,0.0074
distorted,gaussian_noise,4,9.7,zebra,0.995,0.995
distorted,gaussian_noise,4,9.7,giraffe,0.0888,0.0383
distorted,gaussian_noise,4,9.7,umbrella,0.245,0.147
distorted,gaussian_noise,4,9.7,handbag,0.0,0.0
distorted,gaussian_noise,4,9.7,skateboard,0.0,0.0
distorted,gaussian_noise,4,9.7,bottle,0.0,0.0
distorted,gaussian_noise,4,9.7,cup,0.0,0.0
distorted,gaussian_noise,4,9.7,fork,0.0,0.0
distorted,gaussian_noise,4,9.7,knife,0.0,0.0
distorted,gaussian_noise,4,9.7,spoon,0.0,0.0
distorted,gaussian_noise,4,9.7,bowl,0.525,0.3115
distorted,gaussian_noise,4,9.7,banana,0.0,0.0
distorted,gaussian_noise,4,9.7,sandwich,0.0,0.0
distorted,gaussian_noise,4,9.7,orange,0.0,0.0
distorted,gaussian_noise,4,9.7,broccoli,0.4975,0.4975
distorted,gaussian_noise,4,9.7,pizza,0.0,0.0
distorted,gaussian_noise,4,9.7,cake,0.206,0.1854
distorted,gaussian_noise,4,9.7,chair,0.0413,0.0248
distorted,gaussian_noise,4,9.7,potted plant,0.0,0.0
distorted,gaussian_noise,4,9.7,bed,0.0243,0.017
distorted,gaussian_noise,4,9.7,dining table,0.0112,0.0059
distorted,gaussian_noise,4,9.7,microwave,0.0,0.0
distorted,gaussian_noise,4,9.7,oven,0.0,0.0
distorted,gaussian_noise,4,9.7,sink,0.0,0.0
distorted,gaussian_noise,4,9.7,refrigerator,0.0,0.0
distorted,gaussian_noise,4,9.7,book,0.0612,0.049
distorted,gaussian_noise,4,9.7,clock,0.0,0.0
distorted,gaussian_noise,4,9.7,vase,0.0,0.0
distorted,gaussian_noise,4,9.7,teddy bear,0.0,0.0
distorted,salt_pepper,1,16.77,all,0.5304,0.4009
distorted,salt_pepper,1,16.77,person,0.6407,0.3521
distorted,salt_pepper,1,16.77,bicycle,0.995,0.8955
distorted,salt_pepper,1,16.77,car,0.2781,0.1973
distorted,salt_pepper,1,16.77,motorcycle,0.83,0.615
distorted,salt_pepper,1,16.77,airplane,0.995,0.8955
distorted,salt_pepper,1,16.77,train,0.995,0.8955
distorted,salt_pepper,1,16.77,truck,0.495,0.371
distorted,salt_pepper,1,16.77,stop sign,0.0663,0.0332
distorted,salt_pepper,1,16.77,bench,0.4309,0.2257
distorted,salt_pepper,1,16.77,bird,0.0193,0.0074
distorted,salt_pepper,1,16.77,dog,0.272,0.1915
distorted,salt_pepper,1,16.77,horse,0.995,0.6728
distorted,salt_pepper,1,16.77,elephant,0.8283,0.3798
distorted,salt_pepper,1,16.77,zebra,0.995,0.995
distorted,salt_pepper,1,16.77,giraffe,0.8373,0.6324
distorted,salt_pepper,1,16.77,umbrella,0.345,0.2905
distorted,salt_pepper,1,16.77,handbag,0.2745,0.2309
distorted,salt_pepper,1,16.77,skateboard,0.0146,0.0081
distorted,salt_pepper,1,16.77,bottle,0.4975,0.4975
distorted,salt_pepper,1,16.77,cup,0.3411,0.1929
distorted,salt_pepper,1,16.77,fork,0.495,0.4455
distorted,salt_pepper,1,16.77,knife,0.7908,0.5486
distorted,salt_pepper,1,16.77,spoon,0.995,0.8955
distorted,salt_pepper,1,16.77,bowl,0.9117,0.6933
distorted,salt_pepper,1,16.77,banana,0.0355,0.0101
distorted,salt_pepper,1,16.77,sandwich,0.1658,0.1492
distorted,salt_pepper,1,16.77,orange,0.2312,0.1292
distorted,salt_pepper,1,16.77,broccoli,0.995,0.995
distorted,salt_pepper,1,16.77,pizza,0.995,0.4975
distorted,salt_pepper,1,16.77,cake,0.863,0.7046
distorted,salt_pepper,1,16.77,chair,0.128,0.0923
distorted,salt_pepper,1,16.77,potted plant,0.5538,0.2751
distorted,salt_pepper,1,16.77,bed,0.3317,0.2322
distorted,salt_pepper,1,16.77,dining table,0.4508,0.2907
distorted,salt_pepper,1,16.77,microwave,0.0,0.0
distorted,salt_pepper,1,16.77,oven,0.495,0.297
distorted,salt_pepper,1,16.77,sink,0.0,0.0
distorted,salt_pepper,1,16.77,refrigerator,0.4975,0.3483
distorted,salt_pepper,1,16.77,book,0.2905,0.2677
distorted,salt_pepper,1,16.77,clock,0.9125,0.542
distorted,salt_pepper,1,16.77,vase,0.995,0.8455
distorted,salt_pepper,1,16.77,teddy bear,0.0,0.0
distorted,salt_pepper,2,12.78,all,0.377,0.2767
distorted,salt_pepper,2,12.78,person,0.4773,0.2292
distorted,salt_pepper,2,12.78,bicycle,0.995,0.8955
distorted,salt_pepper,2,12.78,car,0.3068,0.2019
distorted,salt_pepper,2,12.78,motorcycle,0.995,0.6645
distorted,salt_pepper,2,12.78,airplane,0.995,0.8955
distorted,salt_pepper,2,12.78,train,0.995,0.597
distorted,salt_pepper,2,12.78,truck,0.27,0.1325
distorted,salt_pepper,2,12.78,stop sign,0.0,0.0
distorted,salt_pepper,2,12.78,bench,0.0236,0.0189
distorted,salt_pepper,2,12.78,bird,0.0431,0.0348
distorted,salt_pepper,2,12.78,dog,0.3625,0.2141
distorted,salt_pepper,2,12.78,horse,0.995,0.4475
distorted,salt_pepper,2,12.78,elephant,0.0413,0.0041
distorted,salt_pepper,2,12.78,zebra,0.995,0.995
distorted,salt_pepper,2,12.78,giraffe,0.7127,0.453
distorted,salt_pepper,2,12.78,umbrella,0.245,0.2205
distorted,salt_pepper,2,12.78,handbag,0.0309,0.0278
distorted,salt_pepper,2,12.78,skateboard,0.0335,0.01
distorted,salt_pepper,2,12.78,bottle,0.3317,0.2985
distorted,salt_pepper,2,12.78,cup,0.1462,0.088
distorted,salt_pepper,2,12.78,fork,0.0825,0.066
distorted,salt_pepper,2,12.78,knife,0.195,0.127
distorted,salt_pepper,2,12.78,spoon,0.199,0.199
distorted,salt_pepper,2,12.78,bowl,0.7629,0.5761
distorted,salt_pepper,2,12.78,banana,0.0498,0.0199
distorted,salt_pepper,2,12.78,sandwich,0.0622,0.0435
distorted,salt_pepper,2,12.78,orange,0.049,0.0245
distorted,salt_pepper,2,12.78,broccoli,0.995,0.995
distorted,salt_pepper,2,12.78,pizza,0.995,0.4975
distorted,salt_pepper,2,12.78,cake,0.4158,0.4017
distorted,salt_pepper,2,12.78,chair,0.0458,0.0366
distorted,salt_pepper,2,12.78,potted plant,0.5173,0.352
distorted,salt_pepper,2,12.78,bed,0.1658,0.0995
distorted,salt_pepper,2,12.78,dining table,0.3187,0.2021
distorted,salt_pepper,2,12.78,microwave,0.0,0.0
distorted,salt_pepper,2,12.78,oven,0.0825,0.0165
distorted,salt_pepper,2,12.78,sink,0.0,0.0
distorted,salt_pepper,2,12.78,refrigerator,0.4975,0.3483
distorted,salt_pepper,2,12.78,book,0.1225,0.0735
distorted,salt_pepper,2,12.78,clock,0.59,0.4785
distorted,salt_pepper,2,12.78,vase,0.695,0.6354
distorted,salt_pepper,2,12.78,teddy bear,0.0,0.0
distorted,salt_pepper,3,7.97,all,0.14,0.0961
distorted,salt_pepper,3,7.97,person,0.1242,0.044
distorted,salt_pepper,3,7.97,bicycle,0.0,0.0
distorted,salt_pepper,3,7.97,car,0.1489,0.1169
distorted,salt_pepper,3,7.97,motorcycle,0.3544,0.2126
distorted,salt_pepper,3,7.97,airplane,0.1658,0.0663
distorted,salt_pepper,3,7.97,train,0.995,0.6965
distorted,salt_pepper,3,7.97,truck,0.255,0.0745
distorted,salt_pepper,3,7.97,stop sign,0.0,0.0
distorted,salt_pepper,3,7.97,bench,0.0061,0.0037
distorted,salt_pepper,3,7.97,bird,0.006,0.0043
distorted,salt_pepper,3,7.97,dog,0.0176,0.0088
distorted,salt_pepper,3,7.97,horse,0.1295,0.0718
distorted,salt_pepper,3,7.97,elephant,0.0206,0.0041
distorted,salt_pepper,3,7.97,zebra,0.995,0.995
distorted,salt_pepper,3,7.97,giraffe,0.3927,0.2223
distorted,salt_pepper,3,7.97,umbrella,0.245,0.1485
distorted,salt_pepper,3,7.97,handbag,0.0,0.0
distorted,salt_pepper,3,7.97,skateboard,0.0,0.0
distorted,salt_pepper,3,7.97,bottle,0.1106,0.0995
distorted,salt_pepper,3,7.97,cup,0.0,0.0
distorted,salt_pepper,3,7.97,fork,0.0,0.0
distorted,salt_pepper,3,7.97,knife,0.0625,0.0563
distorted,salt_pepper,3,7.97,spoon,0.0,0.0
distorted,salt_pepper,3,7.97,bowl,0.5527,0.2277
distorted,salt_pepper,3,7.97,banana,0.1658,0.0498
