distortion,score,location
clean,0.9999994039535522,"(100, 100)"
gaussian_noise,0.5401543974876404,"(100, 100)"
salt_pepper,0.9067894816398621,"(100, 100)"
low_light,0.9999502897262573,"(100, 100)"
motion_blur,0.9711458086967468,"(100, 100)"
